place of work : 2011 super output area - middle layer,Place of Work: MSOA11CD,Usual Residence: England and Wales
Havering 020,E02000483,3291
Havering 021,E02000484,916
Havering 022,E02000485,2455
Havering 023,E02000486,1003
Havering 024,E02000487,965
Havering 025,E02000488,1252
Havering 026,E02000489,566
Havering 027,E02000490,600
Havering 028,E02000491,2866
Havering 029,E02000492,2801
Havering 030,E02000493,990
Hillingdon 001,E02000494,2085
Hillingdon 002,E02000495,4128
Hillingdon 003,E02000496,3495
Hillingdon 004,E02000497,1154
Hillingdon 005,E02000498,944
Hillingdon 006,E02000499,1238
Hillingdon 007,E02000500,2721
Hillingdon 008,E02000501,1017
Hillingdon 009,E02000502,1176
Hillingdon 010,E02000503,554
Hillingdon 011,E02000504,1096
Hillingdon 013,E02000506,1592
Hillingdon 014,E02000507,1557
Hillingdon 015,E02000508,12937
Hillingdon 016,E02000509,12470
Hillingdon 017,E02000510,4515
Hillingdon 018,E02000511,2209
Hillingdon 019,E02000512,641
Hillingdon 020,E02000513,1037
Hillingdon 021,E02000514,960
Hillingdon 022,E02000515,3192
Hillingdon 023,E02000516,439
Hillingdon 024,E02000517,913
Hillingdon 025,E02000518,4963
Hillingdon 026,E02000519,2814
Hillingdon 027,E02000520,11683
Hillingdon 028,E02000521,1305
Hillingdon 029,E02000522,1145
Hillingdon 030,E02000523,3048
Hillingdon 031,E02000524,45721
Hillingdon 032,E02000525,4092
Hillingdon 033,E02006796,5226
Hounslow 001,E02000526,4076
Hounslow 003,E02000528,5235
Hounslow 004,E02000529,781
Hounslow 005,E02000530,6063
Hounslow 006,E02000531,7756
Hounslow 007,E02000532,1966
Hounslow 008,E02000533,731
Hounslow 009,E02000534,9295
Hounslow 010,E02000535,493
Hounslow 011,E02000536,2824
Hounslow 012,E02000537,720
Hounslow 013,E02000538,4796
Hounslow 014,E02000539,4713
Hounslow 015,E02000540,2962
Hounslow 016,E02000541,1373
Hounslow 017,E02000542,2872
Hounslow 018,E02000543,5717
Hounslow 019,E02000544,593
Hounslow 020,E02000545,2102
Hounslow 021,E02000546,2140
Hounslow 022,E02000547,6805
Hounslow 023,E02000548,5742
Hounslow 024,E02000549,2308
Hounslow 025,E02000550,1556
Hounslow 026,E02000551,3601
Hounslow 027,E02000552,4219
Hounslow 028,E02000553,393
Hounslow 029,E02006792,13175
Kingston upon Thames 001,E02000598,823
Kingston upon Thames 002,E02000599,2041
Kingston upon Thames 003,E02000600,3924
Kingston upon Thames 004,E02000601,2105
Kingston upon Thames 005,E02000602,4469
Kingston upon Thames 006,E02000603,1004
Kingston upon Thames 007,E02000604,4448
Kingston upon Thames 008,E02000605,1398
Kingston upon Thames 009,E02000606,17304
Kingston upon Thames 010,E02000607,778
Kingston upon Thames 011,E02000608,2712
Kingston upon Thames 012,E02000609,702
Kingston upon Thames 013,E02000610,2035
Kingston upon Thames 014,E02000611,468
Kingston upon Thames 015,E02000612,749
Kingston upon Thames 016,E02000613,1078
Kingston upon Thames 017,E02000614,4672
Kingston upon Thames 018,E02000615,1857
Kingston upon Thames 019,E02000616,1243
Kingston upon Thames 020,E02000617,3095
Merton 001,E02000689,3852
Merton 002,E02000690,2241
Merton 003,E02000691,3902
Merton 004,E02000692,7226
Merton 005,E02000693,2207
Merton 006,E02000694,2008
Merton 007,E02000695,669
Merton 008,E02000696,888
Merton 009,E02000697,6352
Merton 010,E02000698,1133
Merton 011,E02000699,1064
Merton 012,E02000700,2723
Merton 013,E02000701,1028
Merton 014,E02000702,371
Merton 015,E02000703,628
Merton 016,E02000704,2924
Merton 017,E02000705,567
Merton 018,E02000706,1285
Merton 019,E02000707,474
Merton 020,E02000708,2202
Merton 021,E02000709,255
Merton 022,E02000710,5037
Merton 023,E02000711,3183
Merton 024,E02000712,1221
Merton 025,E02000713,1529
Redbridge 001,E02000751,2242
Redbridge 002,E02000752,2684
Redbridge 003,E02000753,153
Redbridge 004,E02000754,476
